timestamp,FrontAPP,nativeHeapFreeSize,usedNativeMemPercent,FrontAPPJavaHeap,FrontAPPNativeHeap,FrontAPPCodeMem,FrontAPPStackMem,FrontAPPGraphicsMem,FrontAPPPrivateOtherMem,FrontAPPSystemMem,GPU missed,HWC missed,Total missed,TotalFrames,MissedVsync,JankyNum,tempCPU0,tempCPU1,tempCPU2,tempCPU3,tempCPU4,tempCPU5,tempCPU6,tempCPU7,batteryTemp,thermalStatus,MemFree,MemAvailable,MemTotal,threshold,LowMemory,gpuUsage,GpuFreq,cpu0Freq,cpu1Freq,cpu2Freq,cpu3Freq,cpu4Freq,cpu5Freq,cpu6Freq,cpu7Freq,cpuUsage,FrontAppCpuUsage,wifiRssi,wifiSpeed,FPS
1680109206,com.ss.android.ugc.aweme,26860,0.8939446585381262,146596,215716,220904,8812,269972,35052,84845,1,1,1,4038,83,157,60.9,59.3,56.9,60.3,63.3,63.3,64.9,66.3,34.9,0,187356,6769160,11532144,226492416,false,.183,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,0.9991918725467559,1.3646963749711383,-62,173,null
1680109216,com.ss.android.ugc.aweme,25661,0.905099852071006,219320,231216,220888,8748,259228,35780,85315,0,0,0,500,12,17,63.6,61.3,58.9,62.9,67.9,69.6,66.9,67.3,35.1,0,169176,6693688,11532144,226492416,false,.168,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,0.9987795406634861,0.11039609453012315,-62,173,null
1680109226,com.ss.android.ugc.aweme,30645,0.8849074602650001,125144,226516,220956,8768,267504,36856,85729,0,0,0,489,7,11,64.6,62.3,60.3,64.3,68.3,66.9,65.3,70.3,35.3,0,186072,6697564,11532144,226492416,false,.176,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,0.9974744118038017,0.11843679383224777,-62,173,null
1680109236,com.ss.android.ugc.aweme,31180,0.8856115635776652,134040,229340,221320,8752,385524,42492,86131,0,0,0,564,3,8,65.9,62.6,60.3,65.3,71.9,66.3,68.3,70.3,35.6,0,239004,6496596,11532144,226492416,false,.159,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,0.9964726631393298,0.10821365583270345,-62,173,null
1680109246,com.ss.android.ugc.aweme,31231,0.8842112678145067,125336,225584,221280,8676,281064,37212,86603,0,0,0,517,11,19,64.6,62.3,59.9,64.3,68.3,66.3,66.9,68.6,35.8,0,146872,6642568,11532144,226492416,false,.164,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,0.9967733929014644,0.11106974435343758,-62,173,null
1680109256,com.ss.android.ugc.aweme,36065,0.8706104788829413,149856,235912,221608,8712,316144,36340,87213,0,1,1,524,16,23,65.3,63.6,61.3,64.9,69.3,68.9,69.9,70.6,36.0,0,213908,6655980,11532144,226492416,false,.146,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,0.995418098510882,0.13452971872215858,-62,173,null
1680109266,com.ss.android.ugc.aweme,39018,0.8607832503175532,147236,239584,221600,8712,305808,36144,87643,0,0,0,538,8,16,65.9,63.6,61.3,64.9,68.6,71.3,67.6,69.3,36.2,0,264912,6664452,11532144,226492416,false,.138,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,0.9990228410895322,0.10589959692194943,-62,173,null
1680109276,com.ss.android.ugc.aweme,39045,0.860736603321349,134124,234744,221708,8748,322096,36236,87785,0,2,2,557,6,12,65.3,63.6,60.9,64.6,67.3,70.3,71.9,75.9,36.4,0,191232,6514908,11532144,226492416,false,.168,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,0.9984496124031008,0.10220632081097197,-62,173,null
1680109286,com.ss.android.ugc.aweme,43117,0.8483504501969612,139812,237248,221848,8808,315096,36300,88222,0,0,0,522,10,17,67.3,64.6,61.6,65.9,70.6,67.9,67.3,69.9,36.6,0,254852,6677728,11532144,226492416,false,.174,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,0.9980320125951194,0.1146680661243768,-62,173,null
1680109296,com.ss.android.ugc.aweme,38358,0.8655294266122586,145704,238888,221912,8860,353932,36352,88533,0,0,0,534,14,24,66.9,64.9,62.3,66.3,71.6,75.3,67.6,70.3,36.8,0,217112,6534260,11532144,226492416,false,.170,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,0.9955401387512388,0.12227452923686818,-63,173,null
1680109306,com.ss.android.ugc.aweme,36154,0.8777457663799166,204840,248168,224084,8824,252368,37440,89148,0,0,0,548,16,25,67.6,65.6,62.9,66.6,71.9,72.9,70.6,71.6,37.0,0,164460,6444036,11532144,226492416,false,.164,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,0.9979669935422147,0.15426931356134896,-63,173,null
1680109316,com.ss.android.ugc.aweme,41501,0.8561650007624804,147560,241472,224096,8932,323188,37976,89422,0,0,0,499,10,13,68.3,66.3,63.9,67.6,72.3,70.3,72.9,75.6,37.2,0,294884,6568268,11532144,226492416,false,.170,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,0.9990258836626774,0.11202337879209574,-61,173,null
1680109326,com.ss.android.ugc.aweme,40027,0.8623120106773807,157132,245164,224604,8912,303088,37348,89835,0,0,0,568,6,12,67.3,64.9,62.6,66.6,71.3,70.9,69.6,70.9,37.4,0,330364,6627476,11532144,226492416,false,.163,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,0.9984269119070668,0.11108422071636012,-60,173,null
1680109336,com.ss.android.ugc.aweme,40561,0.8625162698627908,158744,249964,224832,8952,265704,37932,90023,0,0,0,557,14,22,67.3,65.3,62.9,66.9,70.6,68.9,71.3,73.9,37.6,0,202144,6727288,11532144,226492416,false,.170,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,0.9993989662219017,0.12092799615338382,-60,173,null
1680109346,com.ss.android.ugc.aweme,35548,0.8814798020884734,178776,253832,224916,9068,321872,37680,90246,0,0,0,522,9,17,68.6,65.9,63.6,68.3,74.3,70.3,70.6,73.6,37.8,0,243140,6586672,11532144,226492416,false,.192,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,0.9975442678040585,0.12924906294429364,-61,173,null
1680109356,com.ss.android.ugc.aweme,43453,0.8510148803401221,142924,247388,224960,8940,336344,39640,90636,0,0,0,558,12,18,67.9,65.9,63.3,66.9,70.9,69.6,73.9,72.6,38.0,0,196392,6383220,11532144,226492416,false,.163,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,0.997809152872444,0.11842745861733203,-62,173,null
1680109366,com.ss.android.ugc.aweme,42972,0.8542907132878514,173928,252244,225024,8940,273304,37520,90820,0,0,0,547,19,25,69.6,67.3,64.9,67.9,71.9,72.3,73.9,78.3,38.1,0,320008,6576724,11532144,226492416,false,.151,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,0.9983138489208633,0.1279226618705036,-62,173,null
1680109376,com.ss.android.ugc.aweme,36643,0.8791489670457244,268564,256320,225976,9036,324020,38380,91231,0,0,0,456,3,5,66.9,65.6,63.3,66.6,69.3,68.9,70.6,74.3,38.3,0,199756,6437704,11532144,226492416,false,.168,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,0.9982295662437297,0.11375036884036589,-64,173,null
1680109386,com.ss.android.ugc.aweme,38167,0.8740113553839044,172460,257752,227648,9264,281644,38020,91595,0,0,0,559,7,12,68.9,66.6,64.3,68.3,73.3,72.3,73.6,74.6,38.5,0,261596,6584100,11532144,226492416,false,.157,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,0.9985124581628858,0.12197843064336185,-64,173,null
