tempCPU0,tempCPU1,tempCPU2,tempCPU3,tempCPU4,tempCPU5,tempCPU6,tempCPU7,batteryTemp,thermalStatus,gpuUsage,GpuFreq,cpu0Freq,cpu1Freq,cpu2Freq,cpu3Freq,cpu4Freq,cpu5Freq,cpu6Freq,cpu7Freq,MemAvailable,MemFree,cpuUsage
63.6,61.3,58.9,62.9,67.9,69.6,66.9,67.3,35.1,0.0,0.168,315000000.0,1804800.0,1804800.0,1804800.0,1804800.0,2419200.0,2419200.0,2419200.0,2841600.0,0.5804374277671177,0.014669952092169505,0.998779540663486
64.6,62.3,60.3,64.3,68.3,66.9,65.3,70.3,35.3,0.0,0.176,315000000.0,1804800.0,1804800.0,1804800.0,1804800.0,2419200.0,2419200.0,2419200.0,2841600.0,0.5807735317907927,0.016135074275867523,0.9974744118038016
65.9,62.6,60.3,65.3,71.9,66.3,68.3,70.3,35.6,0.0,0.159,315000000.0,1804800.0,1804800.0,1804800.0,1804800.0,2419200.0,2419200.0,2419200.0,2841600.0,0.5633467636200172,0.02072502736698397,0.9964726631393298
64.6,62.3,59.9,64.3,68.3,66.3,66.9,68.6,35.8,0.0,0.164,315000000.0,1804800.0,1804800.0,1804800.0,1804800.0,2419200.0,2419200.0,2419200.0,2841600.0,0.5760046007056451,0.012735879815583296,0.9967733929014644
65.3,63.6,61.3,64.9,69.3,68.9,69.9,70.6,36.0,0.0,0.146,315000000.0,1804800.0,1804800.0,1804800.0,1804800.0,2419200.0,2419200.0,2419200.0,2841600.0,0.5771676108102708,0.018548849199246906,0.995418098510882
65.9,63.6,61.3,64.9,68.6,71.3,67.6,69.3,36.2,0.0,0.138,315000000.0,1804800.0,1804800.0,1804800.0,1804800.0,2419200.0,2419200.0,2419200.0,2841600.0,0.5779022530415854,0.02297161741996978,0.9990228410895322
65.3,63.6,60.9,64.6,67.3,70.3,71.9,75.9,36.4,0.0,0.168,315000000.0,1804800.0,1804800.0,1804800.0,1804800.0,2419200.0,2419200.0,2419200.0,2841600.0,0.5649346730321786,0.01658251926094575,0.9984496124031008
67.3,64.6,61.6,65.9,70.6,67.9,67.3,69.9,36.6,0.0,0.174,315000000.0,1804800.0,1804800.0,1804800.0,1804800.0,2419200.0,2419200.0,2419200.0,2841600.0,0.5790534700225735,0.022099273127356024,0.9980320125951194
66.9,64.9,62.3,66.3,71.6,75.3,67.6,70.3,36.8,0.0,0.17,315000000.0,1804800.0,1804800.0,1804800.0,1804800.0,2419200.0,2419200.0,2419200.0,2841600.0,0.5666127651545108,0.018826681317888505,0.9955401387512388
67.6,65.6,62.9,66.6,71.9,72.9,70.6,71.6,37.0,0.0,0.164,315000000.0,1804800.0,1804800.0,1804800.0,1804800.0,2419200.0,2419200.0,2419200.0,2841600.0,0.5587890681906157,0.014261008187202657,0.9979669935422149
68.3,66.3,63.9,67.6,72.3,70.3,72.9,75.6,37.2,0.0,0.17,315000000.0,1804800.0,1804800.0,1804800.0,1804800.0,2419200.0,2419200.0,2419200.0,2841600.0,0.5695617397770961,0.025570613755776895,0.9990258836626774
67.3,64.9,62.6,66.6,71.3,70.9,69.6,70.9,37.4,0.0,0.163,315000000.0,1804800.0,1804800.0,1804800.0,1804800.0,2419200.0,2419200.0,2419200.0,2841600.0,0.5746959108384356,0.028647231598911704,0.9984269119070668
67.3,65.3,62.9,66.9,70.6,68.9,71.3,73.9,37.6,0.0,0.17,315000000.0,1804800.0,1804800.0,1804800.0,1804800.0,2419200.0,2419200.0,2419200.0,2841600.0,0.5833510230187899,0.017528744004584058,0.9993989662219016
68.6,65.9,63.6,68.3,74.3,70.3,70.6,73.6,37.8,0.0,0.192,315000000.0,1804800.0,1804800.0,1804800.0,1804800.0,2419200.0,2419200.0,2419200.0,2841600.0,0.5711576268905417,0.021083677068201714,0.9975442678040584
