tempCPU0,tempCPU1,tempCPU2,tempCPU3,tempCPU4,tempCPU5,tempCPU6,tempCPU7,batteryTemp,thermalStatus,gpuUsage,GpuFreq,cpu0Freq,cpu1Freq,cpu2Freq,cpu3Freq,cpu4Freq,cpu5Freq,cpu6Freq,cpu7Freq,MemAvailable,MemFree,cpuUsage
39.6,39.3,38.9,38.9,37.6,38.3,36.6,36.6,32.3,0.0,0.176,315000000.0,1804800.0,1804800.0,1401600.0,1804800.0,2419200.0,2419200.0,844800.0,844800.0,0.5906698387845872,0.08873281889895968,0.2097554763117677
39.6,38.9,38.3,38.9,38.6,39.3,36.6,36.9,32.3,0.0,0.174,315000000.0,1094400.0,1804800.0,1094400.0,1094400.0,2112000.0,2419200.0,960000.0,844800.0,0.5888342744127113,0.08686777172821576,0.2063471669022227
42.3,41.9,40.9,40.9,40.3,40.9,40.6,41.6,32.5,0.0,0.167,315000000.0,1497600.0,1804800.0,1804800.0,1708800.0,710400.0,2419200.0,710400.0,844800.0,0.5948702704821339,0.08306553124361567,0.224961676034747
39.3,38.6,38.3,38.3,38.6,36.9,38.6,38.6,32.5,0.0,0.17,315000000.0,1804800.0,1094400.0,1401600.0,1804800.0,1209600.0,844800.0,1555200.0,844800.0,0.5949826519742896,0.08309397347311186,0.1951751571923521
39.3,38.6,37.9,38.6,38.9,38.9,36.9,38.3,32.5,0.0,0.17,315000000.0,1094400.0,1209600.0,1209600.0,1401600.0,2419200.0,710400.0,710400.0,844800.0,0.5945355540008679,0.08265381262883549,0.1903530324582956
39.6,39.3,37.9,38.9,38.3,39.3,36.6,37.9,32.6,0.0,0.172,315000000.0,1094400.0,1094400.0,1804800.0,1804800.0,2419200.0,1670400.0,1996800.0,844800.0,0.5929285680343332,0.08105723235601901,0.186336201361243
39.3,38.3,37.9,38.9,40.3,38.6,36.3,36.3,32.6,0.0,0.168,315000000.0,1804800.0,1094400.0,1094400.0,1401600.0,710400.0,2419200.0,2112000.0,844800.0,0.5919625728008346,0.08009089026606318,0.1859838274932614
39.9,39.3,38.3,38.9,37.6,36.9,36.9,36.6,32.6,0.0,0.167,315000000.0,1209600.0,1094400.0,1094400.0,1804800.0,710400.0,2419200.0,844800.0,844800.0,0.5904145524320361,0.07854425732309367,0.188934217236104
37.6,37.6,37.3,37.3,36.6,37.9,37.6,37.6,32.6,0.0,0.172,315000000.0,1804800.0,1708800.0,1804800.0,1612800.0,1209600.0,1670400.0,1766400.0,844800.0,0.5897361012016148,0.07780059707870554,0.1939386221826053
40.3,39.9,38.9,39.6,38.3,42.3,41.9,54.6,32.6,0.0,0.168,315000000.0,1094400.0,1708800.0,1305600.0,1401600.0,710400.0,1670400.0,844800.0,844800.0,0.5921845609334878,0.0802462819589204,0.190701844262295
38.9,38.6,37.6,37.9,36.6,36.6,37.3,36.6,32.6,0.0,0.171,315000000.0,1305600.0,1804800.0,1804800.0,1804800.0,844800.0,1555200.0,710400.0,844800.0,0.5921883763545178,0.08025113794932219,0.1867299794661191
40.3,39.6,38.9,39.6,38.9,38.3,38.6,38.6,32.5,0.0,0.151,315000000.0,1804800.0,1612800.0,1804800.0,1804800.0,2419200.0,1996800.0,1881600.0,844800.0,0.5828690370605719,0.07689460801231479,0.2173464119772844
43.9,43.3,41.3,42.9,43.6,43.6,42.3,40.3,32.5,0.0,0.154,315000000.0,1804800.0,1612800.0,1612800.0,1804800.0,2419200.0,2419200.0,2112000.0,844800.0,0.5826886717027911,0.07699623695429507,0.3181349819680577
44.3,42.9,42.3,43.3,42.3,42.6,42.3,44.3,32.5,0.0,0.158,315000000.0,1804800.0,1401600.0,1305600.0,1804800.0,2419200.0,2112000.0,2419200.0,1555200.0,0.5759568815800837,0.07165256637358453,0.3255933952528379
44.3,43.6,42.9,43.3,42.6,42.6,42.3,41.9,32.2,0.0,0.153,315000000.0,1804800.0,1804800.0,1804800.0,1804800.0,1996800.0,1766400.0,2419200.0,844800.0,0.5664217975697156,0.06370573808105827,0.3416956130194262
47.6,45.6,43.9,46.6,50.9,50.3,50.3,53.9,32.0,0.0,0.127,315000000.0,1804800.0,1612800.0,1094400.0,1804800.0,1555200.0,960000.0,2419200.0,844800.0,0.5645255333178173,0.05183873810845993,0.3646983311938382
44.6,43.9,42.9,43.3,42.3,44.9,42.9,43.6,32.0,0.0,0.167,315000000.0,1804800.0,1804800.0,1804800.0,1804800.0,1209600.0,844800.0,1440000.0,844800.0,0.573794578425459,0.05993540839052707,0.354241645244216
43.9,43.6,42.3,43.3,43.6,41.9,42.9,42.9,32.0,0.0,0.155,315000000.0,1804800.0,1401600.0,1497600.0,1804800.0,1555200.0,2227200.0,844800.0,844800.0,0.5719416712307196,0.05650152946354833,0.3453747903496322
44.9,44.3,42.9,44.3,46.3,43.9,45.3,43.3,32.0,0.0,0.143,315000000.0,1804800.0,1804800.0,1804800.0,1708800.0,2419200.0,2342400.0,710400.0,844800.0,0.5661287038633219,0.05203297772453146,0.346139020943081
46.9,45.9,44.3,45.9,46.6,46.9,45.3,47.6,32.0,0.0,0.154,315000000.0,1497600.0,1804800.0,1804800.0,1804800.0,2419200.0,1881600.0,2419200.0,844800.0,0.5666649439462622,0.04960220767197924,0.3419003115264797
45.6,44.9,43.3,44.6,45.3,43.9,46.6,58.6,32.0,0.0,0.149,315000000.0,1804800.0,1708800.0,1804800.0,1305600.0,710400.0,2419200.0,710400.0,844800.0,0.5780671562661179,0.053934097966831504,0.3325652841781874
46.3,44.9,43.6,45.3,45.9,45.6,45.3,45.3,32.0,0.0,0.158,315000000.0,1804800.0,1804800.0,1804800.0,1804800.0,2419200.0,1766400.0,1555200.0,844800.0,0.5682237168652362,0.0507072923448433,0.3480176211453745
49.3,46.6,44.6,48.6,54.3,56.3,53.3,54.9,32.2,0.0,0.161,315000000.0,1804800.0,1804800.0,1094400.0,1094400.0,710400.0,1670400.0,710400.0,844800.0,0.5600670404160613,0.04241707615961918,0.3542761892550327
