tempCPU0,tempCPU1,tempCPU2,tempCPU3,tempCPU4,tempCPU5,tempCPU6,tempCPU7,batteryTemp,thermalStatus,gpuUsage,GpuFreq,cpu0Freq,cpu1Freq,cpu2Freq,cpu3Freq,cpu4Freq,cpu5Freq,cpu6Freq,cpu7Freq,MemAvailable,MemFree,cpuUsage
49.6,49.3,48.3,48.6,47.6,47.6,45.9,45.6,37.1,0,0.148,315000000.0,1708800,1804800,1804800,1804800,1209600,1209600,1209600,844800,0.05715951616299062,0.011744906499639095,0.3629406307977736
47.9,47.6,46.3,47.3,47.3,48.9,47.3,45.3,37.2,0,0.129,315000000.0,1804800,1497600,1804800,1804800,2419200,2419200,2112000,2380800,0.05397468017233216,0.009949924333263846,0.2830188679245283
48.6,47.9,46.6,48.3,47.3,47.9,46.6,44.9,37.3,0,0.106,315000000.0,1804800,1804800,1804800,1708800,844800,2112000,2419200,2380800,0.05598610076804425,0.01025099573817471,0.2796027501909854
47.9,47.6,46.9,47.3,45.9,45.9,44.9,45.6,37.3,0,0.171,315000000.0,1804800,1804800,1804800,1804800,1440000,1324800,2419200,844800,0.05888443332499722,0.008672798857593571,0.302924880814328
46.3,45.9,45.3,45.9,44.3,44.6,44.6,43.6,37.4,0,0.083,315000000.0,1804800,1804800,1804800,1804800,2342400,2419200,2419200,844800,0.06605707800489553,0.011082063809795019,0.275085845097291
48.3,47.6,45.9,46.9,46.6,45.3,50.6,63.6,37.5,0,0.094,315000000.0,1804800,1804800,1804800,1804800,710400,710400,1209600,1190400,0.0609100750354574,0.008247899697437113,0.257488109011441
48.3,48.3,46.9,47.6,46.9,47.3,45.6,45.6,37.5,0,0.219,315000000.0,1612800,1804800,1804800,1305600,2419200,1324800,710400,844800,0.04694771520448749,0.010654042941523122,0.3042756860242501
47.3,46.6,45.6,45.9,44.6,44.9,44.6,43.9,37.5,0,0.124,315000000.0,1804800,1804800,1804800,1804800,710400,710400,710400,844800,0.06335749419795861,0.009578787923984327,0.2793310353632069
45.9,45.9,44.9,45.3,43.6,44.3,43.6,42.9,37.6,0,0.137,315000000.0,1804800,1804800,1804800,1804800,710400,1209600,1881600,844800,0.05975573674566091,0.007702294490150491,0.264399898502918
46.6,46.3,45.3,45.6,44.3,43.9,43.9,43.6,37.6,0,0.111,315000000.0,1804800,1804800,1497600,1804800,960000,1555200,710400,844800,0.058407158839792896,0.009098391730664573,0.2626406310616836
46.6,46.3,45.3,45.9,44.6,44.6,44.6,43.9,37.7,0,0.079,315000000.0,1804800,1804800,1804800,1612800,710400,710400,710400,844800,0.059757817884404534,0.007544474802092377,0.3015388528551443
46.9,46.6,45.3,46.6,46.3,46.3,42.9,43.3,37.7,0,0.117,315000000.0,1804800,1804800,1804800,1612800,710400,710400,710400,844800,0.07260572791816408,0.009931887797485776,0.2664613015017327
46.3,46.3,44.9,45.9,46.3,44.6,42.9,42.9,37.7,0,0.117,315000000.0,1804800,1804800,1804800,1804800,710400,710400,710400,844800,0.06514207067061574,0.008953405731525471,0.2649518499746579
