timestamp,FrontAPP,nativeHeapFreeSize,usedNativeMemPercent,FrontAPPJavaHeap,FrontAPPNativeHeap,FrontAPPCodeMem,FrontAPPStackMem,FrontAPPGraphicsMem,FrontAPPPrivateOtherMem,FrontAPPSystemMem,GPU missed,HWC missed,Total missed,TotalFrames,MissedVsync,JankyNum,tempCPU0,tempCPU1,tempCPU2,tempCPU3,tempCPU4,tempCPU5,tempCPU6,tempCPU7,batteryTemp,thermalStatus,MemFree,MemAvailable,MemTotal,threshold,LowMemory,gpuUsage,GpuFreq,cpu0Freq,cpu1Freq,cpu2Freq,cpu3Freq,cpu4Freq,cpu5Freq,cpu6Freq,cpu7Freq,cpuUsage,FrontAppCpuUsage,wifiRssi,wifiSpeed,FPS
1679367110,com.taobao.taobao,22686,0.95 ,108544,393224,129964,11264,313128,82000,71647,0,0,0,3508,25,113,44.3,43.3,41.9,42.9,42.3,40.9,45.3,46.3,27.5,0,510416,6439888,11532148,226492416,FALSE,0.107,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,844800,0.346183013,1.326213347,-47,1200,null
1679367120,com.taobao.taobao,21551,0.95 ,109420,388260,129964,10896,328352,80816,71916,0,1,1,599,1,22,43.9,43.3,41.9,42.6,41.9,42.3,45.9,65.3,27.7,0,438396,6334504,11532148,226492416,FALSE,0.108,315000000,1804800,1804800,1804800,1804800,1324800,1996800,2419200,844800,0.389893549,0.20200077,-47,1200,null
1679367130,com.taobao.taobao,23616,0.95 ,106340,392288,129964,10536,361560,81052,72031,0,1,1,593,2,17,45.9,43.9,42.3,45.3,47.6,45.6,44.9,49.3,28,0,465332,6297372,11532148,226492416,FALSE,0.163,315000000,1804800,1804800,1804800,1804800,710400,710400,2419200,1190400,0.370436559,0.198238448,-47,1200,null
1679367140,com.taobao.taobao,22690,0.95 ,114320,406852,129756,10760,300324,81048,72252,0,0,0,611,2,22,44.3,43.6,42.6,42.6,41.3,40.6,41.6,40.9,28,0,439604,6212540,11532148,226492416,FALSE,0.163,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2265600,0.415052645,0.220850123,-43,1200,null
1679367150,com.taobao.taobao,21051,0.95 ,112884,401100,129756,10868,381739,81460,72333,0,0,0,682,2,18,49.9,47.3,45.3,48.3,55.3,55.3,52.9,62.6,28.3,0,361436,6108080,11532148,226492416,FALSE,0.202,315000000,1804800,1804800,1804800,1804800,710400,710400,710400,844800,0.420919656,0.231430015,-43,1200,null
1679367160,com.taobao.taobao,24183,0.95 ,112120,415516,129756,10568,343892,81396,72362,0,1,1,604,2,17,47.6,45.9,44.9,46.3,45.9,46.3,44.3,42.9,28.5,0,366244,6199560,11532148,226492416,FALSE,0.234,315000000,1804800,1804800,1804800,1804800,1996800,844800,710400,844800,0.40626218,0.218136936,-43,1200,null
1679367170,com.taobao.taobao,20148,0.96 ,114368,416580,129756,10028,400371,81852,72418,0,1,1,638,1,22,48.9,47.3,45.3,48.3,52.6,51.9,51.6,62.9,28.7,0,336592,6152240,11532148,226492416,FALSE,0.183,315000000,1497600,1804800,1804800,1804800,710400,710400,710400,844800,0.416858238,0.219029374,-43,1200,null
1679367180,com.taobao.taobao,23714,0.95 ,112660,411556,129764,9796,351476,81492,72406,0,1,1,600,0,17,47.3,46.6,45.3,45.9,45.9,45.6,45.6,46.6,29,0,262748,6254608,11532148,226492416,FALSE,0.114,315000000,1804800,1612800,1804800,1804800,1881600,2227200,2419200,1670400,0.394084216,0.213769052,-43,1200,null
1679367190,com.taobao.taobao,22128,0.95 ,120892,417924,129764,10184,356888,81536,72462,0,2,2,636,3,24,50.9,48.3,46.3,49.6,51.9,55.3,56.3,48.6,29.3,0,142324,5998504,11532148,226492416,FALSE,0.227,315000000,1804800,1804800,1612800,1804800,710400,2419200,2419200,2841600,0.40921895,0.219206146,-43,1200,null
1679367200,com.taobao.taobao,19580,0.96 ,111796,422076,129476,10176,350399,82588,72612,0,0,0,639,0,17,52.6,50.3,48.3,51.3,54.3,54.3,52.6,56.3,29.5,0,194804,6057036,11532148,226492416,FALSE,0.168,315000000,1804800,1804800,1497600,1708800,1075200,2419200,2419200,844800,0.42166195,0.223951634,-43,1200,null
1679367210,com.taobao.taobao,19888,0.96 ,120132,431384,129500,10572,389436,81424,72050,0,0,0,613,0,22,51.6,48.9,46.6,50.6,55.9,53.6,53.6,51.3,29.7,0,242304,6044556,11532148,226492416,FALSE,0.193,315000000,1804800,1804800,1804800,1804800,2419200,2419200,710400,844800,0.416944373,0.217251987,-43,1200,null
1679367220,com.taobao.taobao,20860,0.96 ,114916,422220,129500,10508,428547,81392,72215,0,1,1,647,1,26,50.6,49.6,47.9,48.9,48.9,50.6,54.6,53.6,29.8,0,309460,6148024,11532148,226492416,FALSE,0.223,315000000,1804800,1612800,1804800,1804800,2419200,2419200,2342400,844800,0.393739703,0.212140413,-43,1200,null
1679367230,com.taobao.taobao,23043,0.95 ,110068,426008,129500,10092,314140,81356,72341,0,1,1,681,1,9,45.9,45.3,44.3,44.6,44.6,44.3,43.6,42.9,30,0,326704,6327844,11532148,226492416,FALSE,0.106,315000000,1804800,1804800,1804800,1804800,2227200,1881600,2227200,2841600,0.333247456,0.19116321,-43,1200,null
1679367240,com.taobao.taobao,21763,0.95 ,109972,419404,129500,10152,361860,81344,72424,0,1,1,587,2,20,49.3,46.3,44.6,48.9,53.6,54.9,52.9,59.3,30.3,0,273100,6287496,11532148,226492416,FALSE,0.13,315000000,1804800,1804800,1804800,1804800,2419200,1440000,844800,844800,0.348356446,0.193888033,-43,1200,null
1679367250,com.taobao.taobao,21055,0.96 ,110892,432232,129436,10196,357280,81980,72496,0,0,0,615,2,18,48.3,46.6,44.6,47.9,50.6,49.3,51.3,49.6,30.5,0,295368,6260068,11532148,226492416,FALSE,0.102,315000000,1804800,1804800,1804800,1804800,2419200,2227200,1209600,844800,0.373674121,0.208178914,-43,1200,null
1679367260,com.taobao.taobao,21002,0.96 ,121612,459656,129436,10628,436152,83760,72587,0,0,0,643,0,16,48.3,47.6,46.9,46.9,46.3,46.6,46.3,45.9,30.7,0,291288,6119720,11532148,226492416,FALSE,0.238,315000000,1804800,1804800,1804800,1804800,1555200,1766400,2419200,844800,0.419059884,0.22446877,-43,1200,null
1679367270,com.taobao.taobao,17802,0.96 ,122508,441696,129436,10372,369548,82084,72603,0,0,0,662,3,18,47.9,47.6,46.3,47.3,45.9,46.3,47.6,45.6,30.9,0,292796,6172224,11532148,226492416,FALSE,0.192,315000000,1804800,1804800,1804800,1804800,710400,1555200,1209600,844800,0.403851091,0.220924262,-43,1200,null
1679367280,com.taobao.taobao,20702,0.96 ,120484,445976,129428,9976,310044,83572,72595,0,0,0,666,3,19,48.6,46.9,45.6,47.9,50.9,47.9,43.6,43.6,31.1,0,225828,6127472,11532148,226492416,FALSE,0.213,315000000,1804800,1804800,1804800,1804800,1555200,1766400,2419200,960000,0.428832832,0.230688799,-44,1200,null
