timestamp,FrontAPP,nativeHeapFreeSize,usedNativeMemPercent,FrontAPPJavaHeap,FrontAPPNativeHeap,FrontAPPCodeMem,FrontAPPStackMem,FrontAPPGraphicsMem,FrontAPPPrivateOtherMem,FrontAPPSystemMem,GPU missed,HWC missed,Total missed,TotalFrames,MissedVsync,JankyNum,tempCPU0,tempCPU1,tempCPU2,tempCPU3,tempCPU4,tempCPU5,tempCPU6,tempCPU7,batteryTemp,thermalStatus,MemFree,MemAvailable,MemTotal,threshold,LowMemory,gpuUsage,GpuFreq,cpu0Freq,cpu1Freq,cpu2Freq,cpu3Freq,cpu4Freq,cpu5Freq,cpu6Freq,cpu7Freq,cpuUsage,FrontAppCpuUsage,wifiRssi,wifiSpeed,FPS
1679041191,com.taobao.taobao,34376,0.9202753348918328,108136,383164,123884,9336,318831,87788,60214,0,0,0,567,0,19,80.6,80.6,79.3,78.9,76.3,76.6,80.3,80.6,51.1,3,289640,6294868,11532148,226492416,false,.936,676000000,1804800,1804800,1804800,1804800,1670400,1555200,844800,844800,0.40355329949238583,0.18730964467005076,-47,1200,null
1679041201,com.taobao.taobao,33806,0.9219974342172055,107896,387712,123888,9372,332863,90564,60324,0,1,1,541,2,16,80.6,80.3,78.6,78.9,77.3,76.9,79.9,79.9,51.1,3,227384,6224332,11532148,226492416,false,.949,608000000,1804800,1804800,1804800,1804800,710400,710400,1209600,844800,0.384933989127621,0.1828889464147036,-47,1200,null
1679041211,com.taobao.taobao,33003,0.9231129438076601,103388,378684,123884,9324,283880,88652,60418,0,0,0,549,1,13,83.3,81.6,79.6,81.9,85.6,84.9,85.9,93.9,51.2,3,220344,6142012,11532148,226492416,false,.944,676000000,1804800,1804800,1612800,1804800,710400,844800,1440000,1785600,0.3737399844921169,0.18053760661669682,-47,1200,null
1679041221,com.taobao.taobao,31834,0.9267523837573169,109952,390096,123888,9504,354332,90844,60472,0,1,1,566,2,13,81.6,80.9,78.9,79.3,77.6,77.6,80.9,81.3,51.3,3,231940,6147220,11532148,226492416,false,.952,676000000,1804800,1804800,1804800,1804800,1670400,1670400,1670400,844800,0.40705168709718187,0.18602300012637432,-47,1200,null
1679041231,com.taobao.taobao,34536,0.9210114631267897,96040,387376,123904,9368,270316,89448,60583,0,1,1,546,1,15,82.3,81.6,80.3,80.6,78.6,78.6,82.6,84.3,51.3,3,304432,6247652,11532148,226492416,false,.924,738000000,1804800,1804800,1804800,1804800,1670400,1670400,1670400,1785600,0.4110881364693719,0.19501163091238047,-47,1200,null
1679041241,com.taobao.taobao,33164,0.9234709889420148,107936,385444,123904,9364,295308,89500,60615,0,1,1,542,2,18,82.6,81.6,79.9,80.3,80.6,78.9,82.6,81.9,51.4,3,302608,6285984,11532148,226492416,false,.917,676000000,1804800,1804800,1497600,1401600,1996800,1996800,2112000,844800,0.3963800904977376,0.19146735617323854,-47,1200,null
1679041251,com.taobao.taobao,29638,0.9319886181100555,95036,386476,123904,9764,357288,89636,60725,0,0,0,544,1,16,82.9,81.6,79.9,80.9,79.9,79.9,83.6,85.6,51.5,3,235088,6077740,11532148,226492416,false,.949,676000000,1804800,1804800,1804800,1804800,1670400,1670400,1670400,1785600,0.4128346355834508,0.19213526322531063,-47,1200,null
1679041261,com.taobao.taobao,32957,0.9230106150367228,113412,382100,123900,9392,263068,88952,60798,0,1,1,556,1,16,84.3,82.6,80.6,82.3,84.3,85.9,91.3,93.3,51.6,3,231056,6122600,11532148,226492416,false,.923,608000000,1804800,1804800,1804800,1804800,1670400,1670400,1670400,844800,0.39703817183709944,0.1893272054129963,-47,1200,null
1679041271,com.taobao.taobao,31635,0.9280937747188304,96032,388404,123900,9564,280472,88988,60934,0,0,0,548,1,13,83.3,82.3,80.3,81.3,79.9,79.3,83.6,84.9,51.7,3,365272,6234384,11532148,226492416,false,.929,676000000,1804800,1804800,1804800,1804800,1670400,1670400,1670400,1785600,0.4212755036571282,0.20287437443859874,-47,1200,null
1679041281,com.taobao.taobao,31951,0.9280622675324441,96184,395396,123900,9708,308980,89016,60962,0,2,2,542,1,14,82.6,81.9,80.3,80.3,78.6,77.9,82.9,82.3,51.8,3,377896,6235240,11532148,226492416,false,.940,608000000,1497600,1804800,1804800,1804800,1440000,1670400,1670400,1785600,0.4339573918657198,0.20877985797288573,-47,1200,null
1679041291,com.taobao.taobao,34562,0.9209679042157158,96436,387596,123884,9712,300588,89576,59547,0,0,0,null,1,null,82.9,81.9,80.3,81.3,82.9,84.6,84.9,90.3,51.8,3,365088,6237216,11532148,226492416,false,.912,676000000,1804800,1804800,1804800,1804800,1670400,1670400,1670400,844800,0.407120152574698,0.19809281627463446,-47,1200,null
1679041301,com.taobao.taobao,32623,0.9262883662918912,97948,395704,123896,9716,300316,89316,60076,0,1,1,1069,0,35,84.9,82.9,80.9,83.3,85.3,83.6,87.9,92.9,52.0,3,413484,6286460,11532148,226492416,false,.871,608000000,1804800,1804800,1804800,1804800,1670400,1555200,844800,844800,0.4157447903267302,0.200411628505274,-47,1200,null
