timestamp,FrontAPP,nativeHeapFreeSize,usedNativeMemPercent,FrontAPPJavaHeap,FrontAPPNativeHeap,FrontAPPCodeMem,FrontAPPStackMem,FrontAPPGraphicsMem,FrontAPPPrivateOtherMem,FrontAPPSystemMem,GPU missed,HWC missed,Total missed,TotalFrames,MissedVsync,JankyNum,tempCPU0,tempCPU1,tempCPU2,tempCPU3,tempCPU4,tempCPU5,tempCPU6,tempCPU7,batteryTemp,thermalStatus,MemFree,MemAvailable,MemTotal,threshold,LowMemory,gpuUsage,GpuFreq,cpu0Freq,cpu1Freq,cpu2Freq,cpu3Freq,cpu4Freq,cpu5Freq,cpu6Freq,cpu7Freq,cpuUsage,FrontAppCpuUsage,wifiRssi,wifiSpeed,FPS
1678093428,com.taobao.taobao,19897,0.95052 ,95504,375520,129480,11080,346624,74852,74845,5,6,6,3455,26,61,58.6,56.6,54.6,57.3,59.9,60.9,59.9,62.3,33.8,0,804684,5940908,11532148,226492416,FALSE,0.197,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,0.63345373,3.290571678,-47,1200,null
1678093438,com.taobao.taobao,22257,0.94612 ,114872,378344,132604,11376,390687,77796,75225,0,1,1,1150,10,25,61.6,59.6,57.9,60.6,63.9,62.3,61.9,66.3,34,0,741104,5704224,11532148,226492416,FALSE,0.191,315000000,1094400,1804800,1401600,1094400,2419200,2419200,2419200,2841600,0.721076233,0.251505445,-47,1200,null
1678093448,com.taobao.taobao,24505,0.94095 ,98100,374332,132880,11232,357008,77036,75259,0,1,1,1123,4,17,61.9,59.6,57.6,60.6,62.9,62.6,62.9,66.3,34.2,0,718708,5732568,11532148,226492416,FALSE,0.284,315000000,1804800,1804800,1804800,1612800,2419200,2419200,2419200,2841600,0.699354839,0.24,-47,1200,null
1678093458,com.taobao.taobao,23954,0.94391 ,100272,398308,132896,11092,387728,78252,75352,0,2,2,1194,6,23,64.3,61.6,59.3,63.3,67.3,64.6,68.9,68.3,34.5,0,570528,5691432,11532148,226492416,FALSE,0.215,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,0.726856562,0.258392675,-47,1200,null
1678093468,com.taobao.taobao,26940,0.93741 ,97440,386840,132892,11544,385320,78880,75408,0,1,1,1100,11,25,65.9,63.6,61.3,64.9,69.3,68.9,66.9,69.9,34.8,0,624416,5486912,11532148,226492416,FALSE,0.459,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,0.69808141,0.251101893,-47,1200,null
1678093478,com.taobao.taobao,26028,0.93944 ,97424,388580,132892,10392,372448,78772,75437,0,2,2,1136,6,24,64.3,62.3,59.9,62.6,65.9,65.9,72.6,80.3,35.1,0,570088,5582768,11532148,226492416,FALSE,0.209,315000000,1804800,1497600,1804800,1804800,2419200,2419200,2419200,2841600,0.675324675,0.231451717,-47,1200,null
1678093488,com.taobao.taobao,25675,0.94060 ,98592,394304,132892,9884,421875,78772,75473,0,1,1,1111,9,28,65.9,62.6,60.3,64.9,72.3,73.9,66.3,68.9,35.4,0,535060,5594704,11532148,226492416,FALSE,0.202,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,0.712009179,0.25063743,-47,1200,null
1678093498,com.taobao.taobao,27505,0.93887 ,101628,411440,132912,9352,330444,78728,75534,0,3,3,1111,1,12,65.3,62.6,59.9,64.3,70.6,65.6,67.3,68.6,35.7,0,484600,5544936,11532148,226492416,FALSE,0.201,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,0.657239672,0.222207741,-47,1200,null
1678093508,com.taobao.taobao,21215,0.95206 ,98608,401108,132912,9924,405528,78712,75572,0,1,1,1141,8,19,62.9,60.9,59.3,61.6,63.6,63.9,67.9,68.9,36,0,493756,5363788,11532148,226492416,FALSE,0.508,315000000,1305600,1497600,1804800,1612800,2419200,2419200,2419200,2841600,0.654898385,0.225117249,-47,1200,null
1678093518,com.taobao.taobao,24887,0.94363 ,115024,404352,132892,9680,407824,78748,75567,0,1,1,1103,4,20,64.6,62.6,60.6,63.6,65.6,65.9,69.3,68.9,36.2,0,465100,5529384,11532148,226492416,FALSE,0.274,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,0.692764858,0.24121447,-47,1200,null
1678093528,com.taobao.taobao,23106,0.94744 ,114408,400128,132916,9408,437799,78788,75589,0,1,1,1098,8,25,67.3,64.6,61.9,66.6,73.3,77.3,67.3,69.9,36.5,0,408100,5527560,11532148,226492416,FALSE,0.29,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,0.686434207,0.236955968,-47,1200,null
1678093538,com.taobao.taobao,24263,0.94481 ,111352,398372,132916,9572,423724,79424,75589,0,2,2,1101,5,22,66.9,64.9,62.6,65.6,68.6,70.6,79.3,72.9,36.7,0,432076,5524656,11532148,226492416,FALSE,0.255,315000000,1804800,1804800,1401600,1804800,2419200,2419200,2419200,2841600,0.696040373,0.241071429,-47,1200,null
1678093548,com.taobao.taobao,26745,0.94103 ,99924,410244,132940,9016,324771,79848,75631,0,1,1,1111,2,16,69.3,66.3,62.9,69.3,79.3,78.9,67.9,70.6,37,0,400228,5633868,11532148,226492416,FALSE,0.209,315000000,1094400,1305600,1708800,1209600,2419200,2419200,2419200,2841600,0.681835912,0.241841113,-47,1200,null
1678093558,com.taobao.taobao,21451,0.95193 ,100952,410256,132940,9428,401507,79452,75678,0,0,0,1125,3,16,69.3,65.9,62.9,68.6,78.6,74.3,69.3,71.6,37.2,0,449764,5605612,11532148,226492416,FALSE,0.204,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,0.667918177,0.226437079,-47,1200,null
1678093578,com.taobao.taobao,23580,0.94759 ,103320,407608,132904,9660,369452,79448,75673,0,0,0,2216,6,38,70.6,67.6,64.9,69.9,74.9,72.6,74.6,73.9,37.7,0,430380,5550592,11532148,226492416,FALSE,0.215,315000000,1804800,1804800,1804800,1401600,2419200,2419200,2419200,2688000,0.701825558,0.246450304,-47,1200,null
1678093588,com.taobao.taobao,21470,0.95242 ,104084,409396,132900,9984,384804,79508,75690,0,2,2,1136,10,22,70.6,67.6,64.9,69.9,77.6,79.6,70.3,73.3,37.9,0,353184,5488372,11532148,226492416,FALSE,0.376,315000000,1804800,1804800,1804800,1612800,2419200,2419200,2419200,2841600,0.698960116,0.251809925,-47,1200,null
