timestamp,nativeHeapFreeSize,usedNativeMemPercent,GPU missed,HWC missed,Total missed,FrontAPPPrivateOtherMemPercent,FrontAPPStackMemPercent,FrontAPPSystemMemPercent,FrontAPPGraphicsMemPercent,FrontAPPNativeHeapPercent,FrontAPPCodeMemPercent,FrontAPPJavaHeapPercent,MissedVsync,JankyNum,batteryTemp,thermalStatus,MemAvailable,MemFree,tempCPU0,tempCPU1,tempCPU2,tempCPU3,tempCPU4,tempCPU5,tempCPU6,tempCPU7,cpu0Freq,cpu1Freq,cpu2Freq,cpu3Freq,cpu4Freq,cpu5Freq,cpu6Freq,cpu7Freq,LowMemory,gpuUsage,GpuFreq,cpuUsage,FrontAppCpuUsage,wifiRssi,wifiSpeed
1678093438,0.0019299960423678226,0.94612,0,1,1,0.006746011237455503,0.0009864597644775285,0.006523069249544837,0.033878077180417736,0.03280776486739504,0.011498638414976984,0.009961023739896505,10,25,34.0,0,0.4946367320294537,0.0642641769772639,61.6,59.6,57.9,60.6,63.9,62.3,61.9,66.3,1094400,1804800,1401600,1094400,2419200,2419200,2419200,2841600,False,0.191,315000000,0.721076233,0.251505445,-47,1200
1678093448,0.0021249293713538884,0.94095,0,1,1,0.006680108510574092,0.0009739729320157875,0.006526017529431638,0.030957632524313772,0.03245986784075265,0.011522571510528655,0.008506654614560965,4,17,34.2,0,0.497094556885673,0.062322127673005934,61.9,59.6,57.6,60.6,62.9,62.6,62.9,66.3,1804800,1804800,1804800,1612800,2419200,2419200,2419200,2841600,False,0.284,315000000,0.699354839,0.24,-47,1200
1678093458,0.002077149894364866,0.94391,0,2,2,0.006785552873584348,0.0009618329560113172,0.006534081942063179,0.03362149011615182,0.03453892544563251,0.011523958936357737,0.008694997670858889,6,23,34.5,0,0.4935274850791023,0.04947283021341731,64.3,61.6,59.3,63.3,67.3,64.6,68.9,68.3,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,False,0.215,315000000,0.726856562,0.258392675,-47,1200
1678093468,0.0023360782397173537,0.93741,0,1,1,0.00684000933737583,0.0010010277356828927,0.006538937932464966,0.033412682528874936,0.033544487982637754,0.011523612079900466,0.008449423299111318,11,25,34.8,0,0.4757927144188576,0.05414568040576656,65.9,63.6,61.3,64.9,69.3,68.9,66.9,69.9,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,False,0.459,315000000,0.69808141,0.251101893,-47,1200
1678093478,0.0022569949674596614,0.93944,0,2,2,0.006830644213029524,0.0009011330759889658,0.006541452641780178,0.03229649844937821,0.03369537054155045,0.011523612079900466,0.008448035873282236,6,24,35.1,0,0.4841047825608898,0.049434676003117545,64.3,62.3,59.9,62.6,65.9,65.9,72.6,80.3,1804800,1497600,1804800,1804800,2419200,2419200,2419200,2841600,False,0.209,315000000,0.675324675,0.231451717,-47,1200
1678093488,0.002226384885105533,0.9406,0,1,1,0.006830644213029524,0.0008570823059156022,0.006544574349895613,0.03658251697775644,0.034191722131904655,0.011523612079900466,0.008549317958805246,9,28,35.4,0,0.4851398022293852,0.04639725400679908,65.9,62.6,60.3,64.9,72.3,73.9,66.3,68.9,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,False,0.202,315000000,0.712009179,0.25063743,-47,1200
1678093498,0.002385071714306823,0.93887,0,3,3,0.006826828791999548,0.0008109503970986151,0.00654986391086899,0.028654158791579853,0.03567765519485182,0.01152534636218682,0.008812582009873615,1,12,35.7,0,0.4808242141880246,0.04202165979833072,65.3,62.6,59.9,64.3,70.6,65.6,67.3,68.6,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,False,0.201,315000000,0.657239672,0.222207741,-47,1200
1678093508,0.0018396399352488366,0.95206,0,1,1,0.006825441366170465,0.000860550870488308,0.00655315904721306,0.0351650013510059,0.03478172496572191,0.01152534636218682,0.008550705384634328,8,19,36.0,0,0.4651161258076119,0.04281561422902307,62.9,60.9,59.3,61.6,63.6,63.9,67.9,68.9,1305600,1497600,1804800,1612800,2419200,2419200,2419200,2841600,False,0.508,315000000,0.654898385,0.225117249,-47,1200
1678093518,0.0021580541630232286,0.94363,0,1,1,0.0068285630742859005,0.0008393926265948026,0.0065527254766414725,0.03536409695747921,0.03506302555256835,0.011523612079900466,0.009974204285272787,4,20,36.2,0,0.4794756362821566,0.04033073456913664,64.6,62.6,60.6,63.6,65.6,65.9,69.3,68.9,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,False,0.274,315000000,0.692764858,0.24121447,-47,1200
1678093528,0.002003616325423503,0.94744,0,1,1,0.006832031638858606,0.0008158063875004033,0.00655463318715646,0.03796335253415062,0.034696745133690615,0.011525693218644089,0.009920788390853117,8,25,36.5,0,0.4793174697376412,0.035388030053030886,67.3,64.6,61.9,66.6,73.3,77.3,67.3,69.9,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,False,0.29,315000000,0.686434207,0.236955968,-47,1200
1678093538,0.002103944555689018,0.94481,0,2,2,0.006887181815564629,0.000830027502248497,0.00655463318715646,0.03674285137512977,0.03454447514894884,0.011525693218644089,0.009655790057498394,5,22,36.7,0,0.47906565194966283,0.037467087657910736,66.9,64.9,62.6,65.6,68.6,70.6,79.3,72.9,1804800,1804800,1401600,1804800,2419200,2419200,2419200,2841600,False,0.255,315000000,0.696040373,0.241071429,-47,1200
1678093548,0.002319168987425413,0.94103,0,1,1,0.00692394860003531,0.0007818144546878864,0.006558275179957802,0.028162229621055853,0.03557394511412791,0.011527774357387712,0.008664821159076349,2,16,37.0,0,0.48853587380252145,0.03470541654512238,69.3,66.3,62.9,69.3,79.3,78.9,67.9,70.6,1094400,1305600,1708800,1209600,2419200,2419200,2419200,2841600,False,0.209,315000000,0.681835912,0.241841113,-47,1200
1678093558,0.0018601044662278007,0.95193,0,0,0,0.006889609810765523,0.0008175406697867561,0.006562350743330731,0.034816323897334654,0.035574985683499726,0.011527774357387712,0.008753963268594888,3,16,37.2,0,0.4860856797883621,0.03900088691196124,69.3,65.9,62.9,68.6,78.6,74.3,69.3,71.6,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,False,0.204,315000000,0.667918177,0.226437079,-47,1200
1678093578,0.002044718815610067,0.94759,0,0,0,0.006889262954308252,0.0008376583443084497,0.0065619171727591425,0.032036702962882545,0.0353453667087866,0.011524652649272278,0.00895930229129907,6,38,37.7,0,0.4813146692186052,0.03732002052002801,70.6,67.6,64.9,69.9,74.9,72.6,74.6,73.9,1804800,1804800,1804800,1401600,2419200,2419200,2419200,2688000,False,0.215,315000000,0.701825558,0.246450304,-47,1200
1678093588,0.001861752034399836,0.95242,0,2,2,0.006894465801167311,0.0008657537173473667,0.006563391312702543,0.03336793804588703,0.03550041154518655,0.011524305792815007,0.009025551874637753,10,22,37.9,0,0.4759193170257614,0.030626037751163095,70.6,67.6,64.9,69.9,77.6,79.6,70.3,73.3,1804800,1804800,1804800,1612800,2419200,2419200,2419200,2841600,False,0.376,315000000,0.698960116,0.251809925,-47,1200
1678093598,0.0016388967606034885,0.95826,0,0,0,0.006910768054659028,0.0009302690183996945,0.00656972144304773,0.036921829307081384,0.035665515218847345,0.011562806859572042,0.009052606678304856,9,25,38.2,0,0.45948837978839674,0.03222712715792409,70.3,67.9,65.3,68.9,72.9,77.6,82.9,76.3,1804800,1612800,1094400,1804800,2419200,2419200,2419200,2841600,False,0.359,315000000,0.725757576,0.266414141,-47,1200
