timestamp,FrontAPP,nativeHeapFreeSize,usedNativeMemPercent,FrontAPPJavaHeap,FrontAPPNativeHeap,FrontAPPCodeMem,FrontAPPStackMem,FrontAPPGraphicsMem,FrontAPPPrivateOtherMem,FrontAPPSystemMem,GPU missed,HWC missed,Total missed,TotalFrames,MissedVsync,JankyNum,tempCPU0,tempCPU1,tempCPU2,tempCPU3,tempCPU4,tempCPU5,tempCPU6,tempCPU7,batteryTemp,thermalStatus,MemFree,MemAvailable,MemTotal,threshold,LowMemory,gpuUsage,GpuFreq,cpu0Freq,cpu1Freq,cpu2Freq,cpu3Freq,cpu4Freq,cpu5Freq,cpu6Freq,cpu7Freq,cpuUsage,FrontAppCpuUsage,wifiRssi,wifiSpeed,FPS
1672131797,com.taobao.taobao,51380,0.8587000 ,377300,309252,134616,7584,166120,89608,68882,0,1,1,1528,2,14,46.9,45.3,43.3,45.6,47.3,46.9,48.9,50.6,20.1,0,3142040,7053028,11532148,221184,FALSE,0.299208618,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,1,0.092808191,-64,144,59.43632568
1672131812,com.taobao.taobao,24050,0.9491000 ,298104,420636,140472,10332,508595,95280,71125,0,1,1,1788,15,57,50.9,48.6,46.6,49.6,51.9,51.9,57.6,55.6,20.3,0,2441396,6476632,11532148,221184,FALSE,0.275703984,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,1,0.175825896,-64,144,57.29885057
1672131829,com.taobao.taobao,24668,0.9494000 ,291192,452432,140596,10836,565783,92372,71518,0,4,4,1979,21,63,51.3,49.6,47.3,50.9,55.9,53.3,52.9,54.9,20.7,0,2337668,6492292,11532148,221184,FALSE,0.335612513,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,1,0.19124031,-64,144,56.73786408
1672131844,com.taobao.taobao,23919,0.9514000 ,292648,451720,140580,10748,455179,90308,71739,0,3,3,2076,19,62,51.9,49.9,48.3,50.9,53.3,58.3,54.9,56.9,21.1,0,2293160,6384376,11532148,221184,FALSE,0.314639558,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,1,0.193004372,-64,144,57.1884347
1672131860,com.taobao.taobao,25244,0.9497000 ,305296,461852,140616,10588,436455,90060,71774,0,1,1,2112,13,59,54.3,51.9,49.6,53.3,56.3,55.6,59.9,65.9,21.3,0,2257044,6360444,11532148,221184,FALSE,0.336630961,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,0.999918976,0.174201912,-60,144,57.45967742
1672131876,com.taobao.taobao,24517,0.9522000 ,291444,475520,140640,10224,384771,89768,71880,0,5,5,1964,22,74,55.3,52.6,49.9,55.3,62.3,59.6,55.9,62.6,21.9,0,2257616,6439244,11532148,221184,FALSE,0.307350224,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,1,0.185118816,-60,144,55.96097561
1672131892,com.taobao.taobao,21713,0.9585000 ,297412,490308,140648,10652,503695,95096,71917,0,1,1,1916,27,70,52.9,51.6,49.6,52.6,54.9,56.6,55.6,56.6,22.1,0,2232260,6532284,11532148,221184,FALSE,0.197399591,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,1,0.177652333,-60,144,56.46706587
1672131907,com.taobao.taobao,24264,0.9550000 ,295232,498324,140664,10204,508219,95460,70694,0,1,1,1798,20,65,55.3,53.3,50.6,54.6,59.6,61.6,57.6,63.3,22.5,0,2089636,6304256,11532148,221184,FALSE,0.321406269,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,1,0.176957139,-60,144,56.5408805
1672131922,com.taobao.taobao,23526,0.9562000 ,293624,500036,140664,10052,373383,90324,70898,0,2,2,1904,15,57,55.9,53.3,50.9,55.3,59.9,63.6,58.3,60.3,22.8,0,2088796,6440416,11532148,221184,FALSE,0.379396943,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,1,0.179180753,-60,144,56.84210526
1672131938,com.taobao.taobao,25740,0.9529000 ,293288,499092,140664,9336,361891,90704,71050,0,3,3,1775,13,50,55.6,53.6,51.3,54.3,57.6,62.6,56.9,61.3,23.2,0,2107796,6605168,11532148,221184,FALSE,0.173884449,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,1,0.167555453,-60,144,57.61710794
