timestamp,nativeHeapFreeSize,usedNativeMemPercent,GPU missed,HWC missed,Total missed,FrontAPPPrivateOtherMemPercent,FrontAPPStackMemPercent,FrontAPPSystemMemPercent,FrontAPPGraphicsMemPercent,FrontAPPNativeHeapPercent,FrontAPPCodeMemPercent,FrontAPPJavaHeapPercent,MissedVsync,JankyNum,batteryTemp,thermalStatus,MemAvailable,MemFree,tempCPU0,tempCPU1,tempCPU2,tempCPU3,tempCPU4,tempCPU5,tempCPU6,tempCPU7,cpu0Freq,cpu1Freq,cpu2Freq,cpu3Freq,cpu4Freq,cpu5Freq,cpu6Freq,cpu7Freq,LowMemory,gpuUsage,GpuFreq,cpuUsage,FrontAppCpuUsage,wifiRssi,wifiSpeed
1672131797,0.004455371193640595,0.8587,0,1,1,0.007770278355775524,0.0006576398429850189,0.005973041622428016,0.01440494867044717,0.02681651328096032,0.011673107212984086,0.03271723533204742,2,14.0,20.1,0,0.6115970762775503,0.272459215750613,46.9,45.3,43.3,45.6,47.3,46.9,48.9,50.6,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,False,0.299208618,315000000.0,1.0,0.092808191,-64,144
1672131812,0.00208547444933936,0.9491,0,1,1,0.008262120812185206,0.0008959302291299071,0.006167541380842493,0.04410236497138261,0.03647507819011688,0.012180905066428214,0.025849824334547217,15,57.0,20.3,0,0.5616154076413171,0.21170349183864098,50.9,48.6,46.6,49.6,51.9,51.9,57.6,55.6,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,False,0.275703984,315000000.0,1.0,0.175825896,-64,144
1672131829,0.0021390637719876644,0.9494,0,4,4,0.008009956167749495,0.0009396341427460001,0.006201620027769328,0.04906137174098008,0.039232240168960715,0.012191657616603603,0.025250456376383654,21,63.0,20.7,0,0.5629733506715314,0.20270881018870032,51.3,49.6,47.3,50.9,55.9,53.3,52.9,54.9,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,False,0.335612513,315000000.0,1.0,0.19124031,-64,144
1672131844,0.0020741149003637486,0.9514,0,3,3,0.007830978235797875,0.0009320033006860474,0.006220783847033527,0.03947044384099129,0.03917049971956656,0.01219027019077452,0.025376712126830146,19,62.0,21.1,0,0.5536155103108285,0.19884933838865057,51.9,49.9,48.3,50.9,53.3,58.3,54.9,56.9,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,False,0.314639558,315000000.0,1.0,0.193004372,-64,144
1672131860,0.002189011101834628,0.9497,0,1,1,0.0078094731354471,0.0009181290423952242,0.0062238188410346455,0.0378468087645077,0.04004908712583293,0.012193391898889955,0.026473472244719718,13,59.0,21.3,0,0.5515402681269787,0.19571757143595453,54.3,51.9,49.6,53.3,56.3,55.6,59.9,65.9,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,False,0.336630961,315000000.0,0.999918976,0.174201912,-60,144
1672131876,0.0021259699407257,0.9522,0,5,5,0.007784152614066347,0.0008865651047836015,0.0062330105371523154,0.033365076480114546,0.041234295640326504,0.012195473037633579,0.0252723083331917,22,74.0,21.9,0,0.558373340335209,0.1957671719093442,55.3,52.6,49.9,55.3,62.3,59.6,55.9,62.6,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,False,0.307350224,315000000.0,1.0,0.185118816,-60,144
1672131892,0.0018828235641790236,0.9585,0,1,1,0.008246165415150759,0.0009236787457115535,0.0062362189593820685,0.04367746581122615,0.04251662396285583,0.01219616675054812,0.025789818167439405,27,70.0,22.1,0,0.5664412215313227,0.193568448826706,52.9,51.6,49.6,52.6,54.9,56.6,55.6,56.6,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,False,0.197399591,315000000.0,1.0,0.177652333,-60,144
1672131907,0.002104031269803336,0.955,0,1,1,0.008277729352762383,0.0008848308224972486,0.006130167597571588,0.04406976046439917,0.043211724303226076,0.012197554176377202,0.02560078139822694,20,65.0,22.5,0,0.5466679754716988,0.18120093498626622,55.3,53.3,50.6,54.6,59.6,61.6,57.6,63.3,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,False,0.321406269,315000000.0,1.0,0.176957139,-60,144
1672131922,0.002040036253436914,0.9562,0,2,2,0.007832365661626957,0.0008716502771209665,0.006147857276892388,0.032377576146265206,0.04336017886693789,0.012197554176377202,0.025461345102404165,15,57.0,22.8,0,0.5584749692771893,0.1811280951302394,55.9,53.3,50.9,55.3,59.9,63.6,58.3,60.3,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,False,0.379396943,315000000.0,1.0,0.179180753,-60,144
1672131938,0.0022320213025361795,0.9529,0,3,3,0.007865317025067663,0.0008095629712695328,0.00616103782226867,0.03138105754452683,0.04327832074302203,0.012197554176377202,0.025432209159993436,13,50.0,23.2,0,0.5727612930392499,0.18277566330227465,55.6,53.6,51.3,54.3,57.6,62.6,56.9,61.3,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2841600,False,0.173884449,315000000.0,1.0,0.167555453,-60,144
