timestamp,FrontAPP,nativeHeapFreeSize,usedNativeMemPercent,FrontAPPJavaHeap,FrontAPPNativeHeap,FrontAPPCodeMem,FrontAPPStackMem,FrontAPPGraphicsMem,FrontAPPPrivateOtherMem,FrontAPPSystemMem,GPU missed,HWC missed,Total missed,TotalFrames,MissedVsync,JankyNum,tempCPU0,tempCPU1,tempCPU2,tempCPU3,tempCPU4,tempCPU5,tempCPU6,tempCPU7,batteryTemp,thermalStatus,MemFree,MemAvailable,MemTotal,threshold,LowMemory,gpuUsage,GpuFreq,cpu0Freq,cpu1Freq,cpu2Freq,cpu3Freq,cpu4Freq,cpu5Freq,cpu6Freq,cpu7Freq,cpuUsage,FrontAppCpuUsage,wifiRssi,wifiSpeed,FPS
1680193126,com.miHoYo.ys.mi,146237,0.8625530099102215,11204,947272,395292,5976,389208,588724,25841,0,0,0,0,0,0,92.6,90.6,88.9,90.6,89.9,89.6,93.6,93.9,57.4,3,185132,5290092,11532148,226492416,false,.853,608000000,1804800,1804800,1804800,1804800,1555200,1670400,1440000,1670400,0.7218151433346188,0.38128294125208895,-53,173,null
1680193136,com.miHoYo.ys.mi,136989,0.8712698138242889,11244,949500,395292,5976,389988,588724,25841,0,1,1,0,0,0,92.9,91.3,89.3,90.6,90.6,89.6,92.6,95.9,57.3,3,173576,5281580,11532148,226492416,false,.879,608000000,1804800,1804800,1804800,1804800,1670400,1670400,1670400,1785600,0.7292682926829268,0.3725288831835687,-53,173,null
1680193146,com.miHoYo.ys.mi,127503,0.8804172075120612,10424,953548,395420,5968,402764,588732,25841,0,0,0,0,0,0,92.6,91.3,88.9,90.3,90.6,89.9,92.9,95.9,57.1,3,180824,5272712,11532148,226492416,false,.748,608000000,1804800,1804800,1804800,1804800,1555200,1440000,1670400,1785600,0.7777057679844459,0.35178224238496436,-53,173,null
1680193156,com.miHoYo.ys.mi,120687,0.8867996203111048,11180,957764,395420,5756,419576,588712,25841,0,33,33,0,0,0,89.9,87.9,86.3,87.3,87.6,87.3,92.3,96.6,57.0,3,328952,5524928,11532148,226492416,false,.993,676000000,1804800,1804800,1804800,1804800,1670400,1670400,1670400,1785600,0.6387030365414308,0.41392177045805456,-53,173,null
1680193166,com.miHoYo.ys.mi,117245,0.8900367653955094,11040,959472,395420,5660,421720,588704,25841,0,47,47,0,0,0,89.3,87.6,85.9,87.3,87.6,87.9,90.9,92.6,57.0,3,340608,5531664,11532148,226492416,false,.997,540000000,1804800,1804800,1804800,1804800,1670400,1670400,1670400,1785600,0.5819499341238472,0.433201581027668,-53,173,null
1680193176,com.miHoYo.ys.mi,114330,0.8927143741906424,11012,958936,395420,5632,433072,588700,25841,0,53,53,0,0,0,88.9,87.9,85.6,87.3,88.3,88.3,90.6,93.9,56.9,3,324560,5504168,11532148,226492416,false,.998,608000000,1804800,1804800,1804800,1708800,1670400,1670400,1670400,844800,0.5754607552519655,0.4312411393220776,-53,173,null
1680193186,com.miHoYo.ys.mi,106762,0.899938142010947,11008,964656,395420,5628,427364,588724,25841,0,32,32,0,0,0,88.3,87.3,85.6,86.3,87.9,88.3,88.9,86.6,56.9,3,308032,5498492,11532148,226492416,false,.999,608000000,1804800,1804800,1804800,1804800,1670400,1670400,1670400,844800,0.5788916809945774,0.43314376405237404,-53,173,null
1680193196,com.miHoYo.ys.mi,104152,0.9023594528109438,10768,964444,395420,5544,424384,588744,25841,0,20,20,0,0,0,89.3,87.9,86.3,87.6,88.9,87.9,91.3,92.3,56.9,3,297296,5492704,11532148,226492416,false,.997,608000000,1804800,1804800,1804800,1804800,1670400,1670400,1670400,1785600,0.579321231254933,0.42646671928439883,-53,173,null
1680193206,com.miHoYo.ys.mi,103118,0.9033712034604126,11004,964952,395420,5276,425984,588728,25841,0,7,7,0,0,0,88.9,87.3,85.6,86.6,88.3,87.3,88.6,88.9,56.9,3,288320,5476628,11532148,226492416,false,.996,608000000,1804800,1804800,1804800,1804800,1670400,1670400,1670400,1785600,0.5802388138039627,0.4344574202860517,-53,173,null
1680193216,com.miHoYo.ys.mi,97373,0.9086505807081074,10988,965788,395420,5140,428412,588716,25841,0,45,45,0,0,0,89.3,87.9,85.9,86.9,89.6,88.6,91.6,94.6,56.9,3,279916,5467604,11532148,226492416,false,.999,608000000,1612800,1804800,1804800,1804800,1670400,1440000,1670400,1785600,0.5825330910978459,0.42966519595120684,-53,173,null
1680193226,com.miHoYo.ys.mi,96301,0.9095952009913445,11024,967228,395420,5104,430348,588716,25841,0,54,54,0,0,0,89.6,88.6,86.3,87.9,87.3,87.9,91.3,89.9,56.9,3,271976,5456260,11532148,226492416,false,.998,608000000,1804800,1804800,1804800,1804800,1670400,1670400,1670400,844800,0.5823734955351365,0.43108580302834215,-53,173,null
1680193236,com.miHoYo.ys.mi,96182,0.9098676812354749,10524,965972,395420,5140,428184,588732,25841,0,52,52,0,0,0,88.3,87.3,84.9,86.9,86.9,86.9,90.6,93.3,56.9,3,271112,5457400,11532148,226492416,false,.998,608000000,1804800,1804800,1804800,1804800,1555200,1670400,1555200,1785600,0.5854755784061696,0.42853470437017993,-53,173,null
1680193246,com.miHoYo.ys.mi,97691,0.9084227005137051,10740,968544,395420,5176,427468,588740,25841,0,34,34,0,0,0,88.6,87.3,85.6,86.9,88.3,87.3,89.6,89.9,56.9,3,257796,5445372,11532148,226492416,false,.999,676000000,1804800,1804800,1804800,1804800,1670400,1670400,1670400,1785600,0.5616546290216677,0.416677609980302,-53,173,null
1680193256,com.miHoYo.ys.mi,96310,0.9097044087424808,11032,968496,395420,5160,437352,588104,25841,0,24,24,0,0,0,89.3,87.9,85.9,87.6,88.9,88.3,90.6,91.6,56.9,3,252560,5429224,11532148,226492416,false,.990,676000000,1804800,1804800,1804800,1804800,844800,1670400,1670400,1785600,0.5904516129032258,0.436,-53,173,null
1680193266,com.miHoYo.ys.mi,97058,0.9089607846079961,10944,966008,395420,5108,429224,588044,25841,0,10,10,0,0,0,89.6,87.9,85.9,87.6,88.6,87.3,90.9,94.9,56.9,3,250416,5442472,11532148,226492416,false,.991,608000000,1804800,1804800,1804800,1804800,1670400,1670400,1670400,1785600,0.5792320886660509,0.4235387254255179,-53,173,null
1680193276,com.miHoYo.ys.mi,96990,0.9089781224661401,11008,968464,395420,5100,429272,588020,25841,0,6,6,0,0,0,88.6,87.3,85.6,86.3,87.3,88.3,89.6,94.9,56.9,3,290860,5481464,11532148,226492416,false,.982,608000000,1804800,1804800,1804800,1804800,1670400,1670400,1670400,1670400,0.5761979575805185,0.4223618748363446,-53,173,null
1680193286,com.miHoYo.ys.mi,92308,0.9134587619394058,10824,968660,395420,5100,431172,588016,25841,0,61,61,0,0,0,89.9,87.9,86.3,87.6,88.3,87.3,92.3,92.3,56.9,3,277396,5461676,11532148,226492416,false,.999,540000000,1804800,1804800,1804800,1804800,1440000,1670400,1670400,844800,0.5814762334149168,0.4231611490403195,-53,173,null
1680193296,com.miHoYo.ys.mi,88581,0.9169600872949806,10972,967976,395420,5100,426132,588020,25841,0,76,76,0,0,0,89.9,88.9,87.3,88.3,89.3,88.6,91.6,94.6,56.9,3,264492,5450588,11532148,226492416,false,.999,540000000,1804800,1804800,1804800,1804800,1670400,1324800,1440000,1785600,0.5846994535519126,0.43065313557116836,-53,173,null
