timestamp,FrontAPP,nativeHeapFreeSize,usedNativeMemPercent,FrontAPPJavaHeap,FrontAPPNativeHeap,FrontAPPCodeMem,FrontAPPStackMem,FrontAPPGraphicsMem,FrontAPPPrivateOtherMem,FrontAPPSystemMem,GPU missed,HWC missed,Total missed,TotalFrames,MissedVsync,JankyNum,tempCPU0,tempCPU1,tempCPU2,tempCPU3,tempCPU4,tempCPU5,tempCPU6,tempCPU7,batteryTemp,thermalStatus,MemFree,MemAvailable,MemTotal,threshold,LowMemory,gpuUsage,GpuFreq,cpu0Freq,cpu1Freq,cpu2Freq,cpu3Freq,cpu4Freq,cpu5Freq,cpu6Freq,cpu7Freq,cpuUsage,FrontAppCpuUsage,wifiRssi,wifiSpeed,FPS
1680244592,com.miHoYo.ys.mi,45972,0.9512678086838534,10324,858824,397028,5512,368336,542808,27020,2,2,2,105,3,5,76.3,73.6,70.9,74.9,79.3,77.9,80.3,81.6,40.9,0,108056,5706952,11532148,226492416,false,.759,379000000,1804800,1804800,1804800,1804800,1670400,1670400,1670400,2841600,0.9947792532062195,4.185903983656793,-44,1200,null
1680244602,com.miHoYo.ys.mi,45012,0.9531460786436388,11336,873256,397032,5512,373216,542704,27000,0,11,11,0,0,0,76.3,74.3,71.6,75.3,77.9,77.6,80.3,81.9,41.0,0,101544,5767656,11532148,226492416,false,.759,443000000,1804800,1804800,1804800,1804800,1670400,1670400,1670400,2592000,0.9964457984259965,0.20423965473470423,-44,1200,null
1680244612,com.miHoYo.ys.mi,46808,0.9509228698084642,11108,870180,397024,5408,372144,542896,26903,0,41,41,0,0,0,76.3,74.3,71.9,75.3,79.3,76.9,78.9,82.6,41.2,0,114080,5746120,11532148,226492416,false,.757,491000000,1804800,1804800,1804800,1804800,1670400,1766400,1670400,2592000,0.9903774056485879,0.21169707573106725,-44,1200,null
1680244622,com.miHoYo.ys.mi,46791,0.9509688655282549,11092,869940,397024,5408,375528,543240,26903,0,44,44,0,0,0,76.6,74.6,72.3,75.9,80.6,77.9,79.9,82.6,41.3,0,92896,5722964,11532148,226492416,false,.786,443000000,1804800,1804800,1804800,1804800,1670400,1670400,1766400,2592000,0.9887246304184415,0.2070909546479579,-44,1200,null
1680244632,com.miHoYo.ys.mi,46252,0.9515105005367687,11060,869508,397024,5408,376736,543868,26884,0,38,38,0,0,0,77.6,75.3,72.6,76.6,79.9,80.6,81.9,82.3,41.4,0,109712,5709312,11532148,226492416,false,.626,315000000,1804800,1804800,1804800,1804800,1670400,1670400,1670400,2688000,0.9864967188288744,0.19851085310449268,-44,1200,null
1680244642,com.miHoYo.ys.mi,46406,0.951376373649402,10556,869864,397024,5464,374040,544320,26848,0,23,23,0,0,0,76.9,74.9,72.6,76.3,78.9,78.9,79.6,81.9,41.6,0,90152,5690880,11532148,226492416,false,.747,379000000,1804800,1804800,1804800,1804800,1670400,1670400,1670400,2496000,0.9872854418308964,0.19046408137317228,-44,1200,null
1680244652,com.miHoYo.ys.mi,45027,0.9528588120006031,11092,869408,397024,5340,374964,545900,26848,0,9,9,0,0,0,76.6,74.6,72.3,75.6,79.3,78.3,79.9,82.9,41.7,0,108264,5682400,11532148,226492416,false,.734,379000000,1804800,1804800,1804800,1804800,2112000,2112000,1996800,2592000,0.9899303828940825,0.1921929388363998,-44,1200,null
1680244662,com.miHoYo.ys.mi,45205,0.9529224430966108,11020,869452,397024,5360,363852,547440,26795,0,0,0,0,0,0,77.6,75.9,72.6,76.6,84.9,79.3,81.6,81.9,41.9,3,108536,5674140,11532148,226492416,false,.750,379000000,1804800,1804800,1804800,1804800,1670400,1670400,1670400,2496000,0.9942366803278688,0.1885245901639344,-44,1200,null
1680244672,com.miHoYo.ys.mi,46234,0.9516455611474375,11068,874132,397024,5356,371556,548876,26763,0,22,22,0,0,0,77.9,75.6,72.9,76.6,80.6,78.9,84.3,82.6,42.1,3,107636,5636900,11532148,226492416,false,.706,379000000,1804800,1804800,1804800,1804800,1670400,1670400,1670400,2496000,0.99206840996406,0.20845210063204858,-44,1200,null
1680244682,com.miHoYo.ys.mi,45040,0.9528858465066069,10072,871696,397020,5324,372208,549936,26748,0,52,52,0,0,0,77.6,75.3,72.9,75.9,79.6,77.9,78.6,82.3,42.3,3,90820,5620416,11532148,226492416,false,.738,443000000,1804800,1804800,1804800,1804800,1881600,1881600,1996800,2592000,0.9921568627450981,0.2092346616065781,-44,1200,null
1680244692,com.miHoYo.ys.mi,45638,0.9522804742884627,10988,871468,397020,5312,372084,550560,26748,0,16,16,0,0,0,78.3,75.9,73.3,76.9,79.9,81.6,81.9,82.6,42.4,3,116280,5598900,11532148,226492416,false,.713,443000000,1804800,1804800,1804800,1804800,1670400,1670400,1670400,2592000,0.9867273416761472,0.20237643787131843,-44,1200,null
1680244702,com.miHoYo.ys.mi,45511,0.9524490648835022,10956,871928,397020,5276,371676,553724,26748,0,34,34,0,0,0,77.6,75.6,72.9,76.3,78.9,80.3,79.6,82.6,42.6,3,159292,5642172,11532148,226492416,false,.712,443000000,1804800,1804800,1804800,1804800,1670400,1670400,1670400,2496000,0.9930052460654509,0.21021733699725206,-44,1200,null
1680244712,com.miHoYo.ys.mi,44298,0.9538516351635163,10916,876540,397028,5276,376480,556292,29376,0,66,66,0,0,0,77.9,75.3,72.9,76.6,81.3,81.3,79.9,82.6,42.9,3,151328,5634232,11532148,226492416,false,.714,379000000,1804800,1804800,1804800,1804800,1670400,1670400,1670400,2496000,0.9914974619289341,0.21763959390862944,-44,1200,null
1680244722,com.miHoYo.ys.mi,50870,0.9469587014005322,11000,875448,397028,5200,374428,557368,29439,0,32,32,0,0,0,78.9,75.9,73.6,77.6,80.6,79.3,83.3,82.9,43.0,3,206472,5689420,11532148,226492416,false,.830,491000000,1804800,1804800,1804800,1804800,1670400,1670400,1670400,2496000,0.996084189916789,0.2049681840430739,-44,1200,null
1680244732,com.miHoYo.ys.mi,52143,0.9457121974987819,10560,870768,397028,5204,373236,558244,29439,0,30,30,0,0,0,76.9,75.3,72.9,75.6,76.6,76.3,78.6,82.3,43.2,3,197976,5688676,11532148,226492416,false,.751,443000000,1804800,1804800,1804800,1804800,1670400,1670400,1670400,2496000,0.9879864194306608,0.20684251762862366,-44,1200,null
1680244742,com.miHoYo.ys.mi,51050,0.946843293404195,11004,870272,397028,5076,373120,559760,29439,0,9,9,0,0,0,78.3,75.9,73.6,76.9,79.9,82.6,80.6,83.3,43.4,3,184776,5675544,11532148,226492416,false,.661,315000000,1804800,1804800,1804800,1804800,1670400,1670400,1670400,2592000,0.9869586614173228,0.19315944881889763,-44,1200,null
1680244752,com.miHoYo.ys.mi,50210,0.9477510364462797,10872,871188,397028,5128,372556,560408,29439,0,26,26,0,0,0,78.9,76.3,73.6,77.9,83.9,80.3,80.6,82.9,43.7,3,170956,5664240,11532148,226492416,false,.707,315000000,1804800,1804800,1804800,1804800,1670400,1670400,1670400,2496000,0.9895860118282335,0.19645152995628695,-44,1200,null
1680244762,com.miHoYo.ys.mi,50526,0.9474873410880429,10976,873764,397028,5140,373372,560408,29435,0,48,48,0,0,0,77.6,75.9,73.6,76.3,77.9,78.6,81.3,81.9,43.8,3,155464,5641444,11532148,226492416,false,.766,443000000,1804800,1804800,1804800,1804800,1670400,1670400,1670400,2496000,0.9882063882063882,0.20933660933660933,-44,1200,null
1680244772,com.miHoYo.ys.mi,51390,0.9465266794306169,10476,871016,397028,5120,371956,560412,29435,0,30,30,0,0,0,78.6,76.3,73.6,77.3,80.3,79.3,80.9,82.3,44.0,3,149008,5643476,11532148,226492416,false,.721,443000000,1804800,1804800,1804800,1804800,1670400,1670400,1670400,2496000,0.988131653003793,0.20836901994371712,-44,1200,null
1680244782,com.miHoYo.ys.mi,51537,0.9462983957352984,10588,874260,397156,5076,372600,560788,29435,0,40,40,0,0,0,78.3,75.9,73.9,77.3,79.3,78.9,80.6,82.3,44.2,3,131848,5620052,11532148,226492416,false,.739,379000000,1804800,1804800,1804800,1804800,1670400,1670400,1670400,2496000,0.9788108385771157,0.19892127905483498,-44,1200,null
1680244792,com.miHoYo.ys.mi,51078,0.947113273969766,10808,872152,396976,5104,376016,560788,28580,0,69,69,0,0,0,77.3,75.6,73.6,75.9,76.9,76.9,79.3,83.6,44.4,3,105328,5586256,11532148,226492416,false,.682,443000000,1804800,1804800,1804800,1804800,1766400,1881600,2112000,2150400,0.9926415564978798,0.20117236218508355,-44,1200,null
1680244802,com.miHoYo.ys.mi,49422,0.9487034176962933,10836,877332,396956,5092,383676,560784,28562,0,44,44,null,0,null,77.9,75.9,73.6,76.6,79.6,78.3,79.3,82.6,44.6,3,109424,5549764,11532148,226492416,false,.784,379000000,1804800,1804800,1804800,1804800,1881600,1670400,1670400,2380800,0.9950287807430664,0.2085295656724228,-44,1200,null
1680244812,com.miHoYo.ys.mi,49649,0.9484936821793888,11016,876024,396956,5080,374588,560788,28562,0,27,27,0,0,0,78.9,76.6,73.9,77.6,81.3,81.6,80.9,82.6,44.8,3,94620,5559852,11532148,226492416,false,.706,379000000,1804800,1804800,1804800,1804800,1670400,1670400,1670400,2496000,0.994501553908678,0.20260578532153956,-44,1200,null
1680244822,com.miHoYo.ys.mi,50690,0.9473610972651447,10520,873572,396956,5080,369744,560792,28562,0,39,39,null,0,null,78.6,76.6,74.3,77.3,80.9,80.6,81.3,82.6,45.0,3,153652,5623172,11532148,226492416,false,.722,379000000,1804800,1804800,1804800,1804800,1670400,1670400,1670400,2496000,0.9959058341862845,0.21123336745138177,-44,1200,null
1680244832,com.miHoYo.ys.mi,50797,0.947246258209507,10948,873284,396956,5004,377272,560792,28562,0,18,18,0,0,0,78.3,76.3,73.9,77.3,79.9,78.9,80.6,82.3,45.1,3,145012,5606932,11532148,226492416,false,.741,315000000,1804800,1804800,1804800,1804800,1670400,1670400,1670400,2496000,0.9876048578940779,0.1976962564166771,-44,1200,null
1680244842,com.miHoYo.ys.mi,49708,0.9484923217209292,10980,878416,396956,5016,375892,560796,28562,0,36,36,0,0,0,78.9,76.6,73.9,77.3,79.6,79.6,79.6,82.3,45.2,3,212392,5670476,11532148,226492416,false,.639,315000000,1804800,1804800,1804800,1804800,1670400,1670400,1670400,2496000,0.9898346601347213,0.20220453153704837,-44,1200,null
