timestamp,FrontAPP,nativeHeapFreeSize,usedNativeMemPercent,FrontAPPJavaHeap,FrontAPPNativeHeap,FrontAPPCodeMem,FrontAPPStackMem,FrontAPPGraphicsMem,FrontAPPPrivateOtherMem,FrontAPPSystemMem,GPU missed,HWC missed,Total missed,TotalFrames,MissedVsync,JankyNum,tempCPU0,tempCPU1,tempCPU2,tempCPU3,tempCPU4,tempCPU5,tempCPU6,tempCPU7,batteryTemp,thermalStatus,MemFree,MemAvailable,MemTotal,threshold,LowMemory,gpuUsage,GpuFreq,cpu0Freq,cpu1Freq,cpu2Freq,cpu3Freq,cpu4Freq,cpu5Freq,cpu6Freq,cpu7Freq,cpuUsage,FrontAppCpuUsage,wifiRssi,wifiSpeed,FPS
1680264545,com.miHoYo.ys.mi,95607,0.8385409630089978,16584,451804,238544,8688,152084,433868,5838,3,5,5,110,2,-3,61.6,57.9,54.9,60.6,67.9,67.3,62.6,82.3,29.2,0,96464,545872,11532144,226492416,false,.182,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2496000,0.447900466562986,0.864307931570762,-52,192,null
1680264555,com.miHoYo.ys.mi,49266,0.9400160716894754,9840,719652,110596,7664,267044,485092,8088,0,1,1,0,0,0,43.9,43.9,42.6,43.3,42.3,43.6,50.6,41.6,29.4,0,92112,293476,11532144,226492416,false,.050,315000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,844800,0.2845922241131038,0.15119780075926167,-52,192,null
1680264565,com.miHoYo.ys.mi,48273,0.9437406473327709,9668,763808,101688,7104,341856,481388,8794,0,5,5,0,0,0,50.6,49.6,48.6,49.3,49.9,49.3,48.6,48.6,29.5,0,94448,310232,11532144,226492416,false,.773,608000000,1612800,1612800,1804800,1401600,2342400,2419200,2419200,844800,0.3668933054393305,0.2554916317991632,-52,192,null
1680264575,com.miHoYo.ys.mi,48322,0.9437171250331953,11004,764572,92160,7992,342548,482384,9326,0,2,2,0,0,0,53.6,51.6,49.9,52.6,55.9,56.6,55.3,49.9,29.7,0,91440,222600,11532144,226492416,false,.803,608000000,1804800,1804800,1804800,1804800,2419200,2342400,2419200,844800,0.4264207242642073,0.29865726298657264,-52,192,null
1680264585,com.miHoYo.ys.mi,50022,0.9417443842993302,10752,763096,91120,6736,345092,481580,9563,0,0,0,0,0,0,52.9,51.3,49.9,51.3,53.9,53.6,53.9,49.9,29.9,0,91512,254276,11532144,226492416,false,.806,540000000,1804800,1804800,1804800,1804800,2112000,2419200,2419200,844800,0.4076832614660917,0.29400235201881614,-52,192,null
1680264595,com.miHoYo.ys.mi,45728,0.9490777241769451,11592,806292,140480,6712,347340,498048,8297,0,16,16,0,0,0,55.6,53.6,51.3,53.9,58.3,58.9,58.6,60.9,30.2,0,100716,359712,11532144,226492416,false,.385,778000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2688000,0.39331086336530985,0.2626393570132227,-52,192,null
1680264605,com.miHoYo.ys.mi,47982,0.9464742288281937,9180,801900,71312,6332,346920,496120,8933,0,2,2,0,0,0,56.6,54.9,53.6,54.9,56.9,58.6,58.6,54.9,30.3,0,117660,255916,11532144,226492416,false,.799,676000000,1804800,1804800,1804800,1804800,2227200,1670400,2112000,844800,0.4174783188792528,0.2971314209472982,-52,192,null
1680264615,com.miHoYo.ys.mi,47705,0.9467832330092322,9988,803824,80936,6236,347644,496048,9748,0,1,1,0,0,0,58.3,57.3,55.3,57.3,58.9,57.9,58.6,55.9,30.7,0,97596,230568,11532144,226492416,false,.834,676000000,1804800,1804800,1804800,1804800,1670400,2112000,2342400,844800,0.382711038961039,0.286525974025974,-52,192,null
1680264625,com.miHoYo.ys.mi,47856,0.9466147866867166,9440,803732,77876,6224,347764,496012,10449,0,0,0,0,0,0,58.9,57.6,56.3,57.9,61.3,62.3,61.6,56.6,30.8,0,112504,233340,11532144,226492416,false,.770,676000000,1804800,1804800,1804800,1804800,2342400,1670400,2419200,844800,0.3866210165920464,0.28733210429286277,-52,192,null
1680264635,com.miHoYo.ys.mi,47497,0.9471296840492983,9496,803932,71860,6208,347820,495980,10041,0,0,0,0,0,0,59.3,57.9,56.3,58.3,59.9,61.3,61.3,57.3,31.1,0,127388,207252,11532144,226492416,false,.828,676000000,1804800,1804800,1804800,1804800,2419200,1440000,2342400,844800,0.3934232935936067,0.2909734049521813,-52,192,null
