timestamp,nativeHeapFreeSize,usedNativeMemPercent,GPU missed,HWC missed,Total missed,FrontAPPPrivateOtherMemPercent,FrontAPPStackMemPercent,FrontAPPSystemMemPercent,FrontAPPGraphicsMemPercent,FrontAPPNativeHeapPercent,FrontAPPCodeMemPercent,FrontAPPJavaHeapPercent,MissedVsync,JankyNum,batteryTemp,thermalStatus,MemAvailable,MemFree,tempCPU0,tempCPU1,tempCPU2,tempCPU3,tempCPU4,tempCPU5,tempCPU6,tempCPU7,cpu0Freq,cpu1Freq,cpu2Freq,cpu3Freq,cpu4Freq,cpu5Freq,cpu6Freq,cpu7Freq,LowMemory,gpuUsage,GpuFreq,cpuUsage,FrontAppCpuUsage,wifiRssi,wifiSpeed
1680264545,0.008290479203173322,0.8385409630089978,3,5,5,0.03762249240037239,0.0007533724865038105,0.000506237174978044,0.013187833936170065,0.03917779729424121,0.02068513886056227,0.0014380673706467766,2,-3.0,29.2,0,0.04733482342919062,0.008364793224919842,61.6,57.9,54.9,60.6,67.9,67.3,62.6,82.3,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2496000,False,0.182,315000000,0.447900466562986,0.864307931570762,-52,192
1680264555,0.004272059037764357,0.9400160716894754,0,1,1,0.04206433773286216,0.0006645772026433246,0.0007013439998668071,0.023156491975819933,0.06240400744215473,0.009590237513510064,0.0008532671808468572,0,0.0,29.4,0,0.025448520240468727,0.007987413268512777,43.9,43.9,42.6,43.3,42.3,43.6,50.6,41.6,1804800,1804800,1804800,1804800,2419200,2419200,2419200,844800,False,0.05,315000000,0.2845922241131038,0.1511978007592616,-52,192
1680264565,0.004185951892380116,0.9437406473327709,0,5,5,0.04174314854202306,0.0006160172817821214,0.0007625641858096812,0.02964375054629911,0.0662329572020606,0.008817787915239352,0.0008383523480109163,0,0.0,29.5,0,0.026901502443951446,0.008189977509819509,50.6,49.6,48.6,49.3,49.9,49.3,48.6,48.6,1612800,1612800,1804800,1401600,2342400,2419200,2419200,844800,False,0.773,608000000,0.3668933054393305,0.2554916317991632,-52,192
1680264575,0.004190200885455471,0.9437171250331952,0,2,2,0.041829515829840486,0.0006930194420048865,0.0008086961106278243,0.029703756734220453,0.06629920680837839,0.007991575547443737,0.000954202444922644,0,0.0,29.7,0,0.019302568542328296,0.007929141363479332,53.6,51.6,49.9,52.6,55.9,56.6,55.3,49.9,1804800,1804800,1804800,1804800,2419200,2342400,2419200,844800,False,0.803,608000000,0.4264207242642073,0.2986572629865726,-52,192
1680264585,0.004337614930926981,0.9417443842993302,0,0,0,0.0417597976577469,0.0005841064766447592,0.0008292473628494407,0.02992435751756135,0.06617121673125136,0.00790139283727293,0.0009323504805351026,0,0.0,29.9,0,0.0220493257801845,0.007935384781875773,52.9,51.3,49.9,51.3,53.9,53.6,53.9,49.9,1804800,1804800,1804800,1804800,2112000,2419200,2419200,844800,False,0.806,540000000,0.4076832614660917,0.2940023520188161,-52,192
1680264595,0.0039652643948948265,0.9490777241769452,0,16,16,0.04318780618764386,0.0005820253371792791,0.0007194672560453633,0.030119290914161323,0.06991692091253804,0.012181603004610417,0.0010051903618269074,0,0.0,30.2,0,0.031192118308616335,0.008733501766887405,55.6,53.6,51.3,53.9,58.3,58.9,58.6,60.9,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2688000,False,0.385,778000000,0.3933108633653098,0.2626393570132227,-52,192
1680264605,0.004160718076361169,0.9464742288281937,0,2,2,0.04302062131725029,0.0005490739623091769,0.000774617451880587,0.03008287097351542,0.06953607239035517,0.006183759065096655,0.0007960358455461534,0,0.0,30.3,0,0.022191536976992308,0.010202786229516385,56.6,54.9,53.6,54.9,56.9,58.6,58.6,54.9,1804800,1804800,1804800,1804800,2227200,1670400,2112000,844800,False,0.799,676000000,0.4174783188792528,0.2971314209472982,-52,192
1680264615,0.0041366982583637526,0.9467832330092322,0,1,1,0.043014377898853845,0.0005407494044472563,0.0008452894795625167,0.030145652014057403,0.06970291040417116,0.007018295990754191,0.0008661008742173182,0,0.0,30.7,0,0.0199935068448677,0.008462953636374988,58.3,57.3,55.3,57.3,58.9,57.9,58.6,55.9,1804800,1804800,1804800,1804800,1670400,2112000,2342400,844800,False,0.834,676000000,0.382711038961039,0.286525974025974,-52,192
1680264625,0.004149792094167399,0.9466147866867166,0,0,0,0.04301125618965563,0.0005397088347145162,0.0009060760947834158,0.030156057711384805,0.06969493270288682,0.006752950708905473,0.000818581523088855,0,0.0,30.8,0,0.02023387845313066,0.009755688101015734,58.9,57.6,56.3,57.9,61.3,62.3,61.6,56.6,1804800,1804800,1804800,1804800,2342400,1670400,2419200,844800,False,0.77,676000000,0.3866210165920464,0.2873321042928627,-52,192
1680264635,0.004118661716329591,0.9471296840492984,0,0,0,0.043008481337034984,0.0005383214084041961,0.0008706967238702535,0.030160913703470925,0.06971227553176582,0.006231278416225118,0.0008234375151749753,0,0.0,31.1,0,0.017971679854153745,0.011046341426191002,59.3,57.9,56.3,58.3,59.9,61.3,61.3,57.3,1804800,1804800,1804800,1804800,2419200,1440000,2342400,844800,False,0.828,676000000,0.3934232935936067,0.2909734049521813,-52,192
1680264645,0.004131061838978077,0.946970742632228,0,0,0,0.04299356650419905,0.0005372808386714561,0.0006180984212476014,0.030165422838979463,0.06971158181861066,0.004809513304724603,0.0007832021521756926,0,0.0,31.4,0,0.00996761746991713,0.009006824750020464,62.3,60.9,58.9,60.6,61.6,62.6,62.9,63.9,1804800,1804800,1804800,1804800,2419200,2419200,2419200,844800,False,0.681,608000000,0.4147104851330203,0.2833854981742306,-52,192
1680264655,0.004163579643126205,0.94648732145723,0,1,1,0.04301888703436239,0.0005161225874390746,0.0006528707931499989,0.030163341699513985,0.06970880696599002,0.0055455429623494125,0.0007807741561326324,0,0.0,31.9,0,0.020373661653895408,0.011828156152056374,58.9,58.6,56.9,58.3,58.3,56.3,62.9,57.6,1804800,1804800,1708800,1804800,2419200,2227200,2419200,844800,False,0.761,676000000,0.4040619989310529,0.2895510422234099,-52,192
1680264665,0.0041465836708247834,0.9467622487241376,0,2,2,0.04300535962783677,0.0005098791690426342,0.0006877298791967912,0.030168197691600104,0.06972857779091209,0.00580672596526717,0.0007956889889685734,0,0.0,32.0,0,0.01968168278162326,0.008105691361467564,61.3,58.9,57.3,59.9,64.3,65.6,62.9,59.3,1804800,1804800,1804800,1804800,2419200,2227200,2419200,844800,False,0.78,778000000,0.3826157595450853,0.2856756024911995,-52,192
